x,Sol_ap,Sol_exact
0.002408,48.9222,48.9185
0.002416,48.9165,48.9128
0.002424,48.9107,48.9071
0.002432,48.905,48.9013
0.00244,48.8993,48.8956
0.002448,48.8936,48.8899
0.002456,48.8879,48.8842
0.002464,48.8822,48.8785
0.002472,48.8765,48.8728
0.00248,48.8708,48.8671
0.002488,48.865,48.8614
0.002496,48.8593,48.8557
0.002504,48.8536,48.8499
0.002512,48.8479,48.8442
0.00252,48.8422,48.8385
0.002528,48.8365,48.8328
0.002536,48.8308,48.8271
0.002544,48.8251,48.8214
0.002552,48.8194,48.8157
0.00256,48.8137,48.81
0.002568,48.808,48.8043
0.002576,48.8023,48.7987
0.002584,48.7966,48.793
0.002592,48.7909,48.7873
0.0026,48.7853,48.7816
0.002608,48.7796,48.7759
0.002616,48.7739,48.7702
0.002624,48.7682,48.7645
0.002632,48.7625,48.7588
0.00264,48.7568,48.7531
0.002648,48.7511,48.7475
0.002656,48.7454,48.7418
0.002664,48.7398,48.7361
0.002672,48.7341,48.7304
0.00268,48.7284,48.7247
0.002688,48.7227,48.7191
0.002696,48.717,48.7134
0.002704,48.7114,48.7077
0.002712,48.7057,48.702
0.00272,48.7,48.6964
0.002728,48.6944,48.6907
0.002736,48.6887,48.685
0.002744,48.683,48.6793
0.002752,48.6773,48.6737
0.00276,48.6717,48.668
0.002768,48.666,48.6623
0.002776,48.6603,48.6567
0.002784,48.6547,48.651
0.002792,48.649,48.6454
0.0028,48.6434,48.6397
0.002808,48.6377,48.634
0.002816,48.632,48.6284
0.002824,48.6264,48.6227
0.002832,48.6207,48.6171
0.00284,48.6151,48.6114
0.002848,48.6094,48.6058
0.002856,48.6038,48.6001
0.002864,48.5981,48.5945
0.002872,48.5925,48.5888
0.00288,48.5868,48.5832
0.002888,48.5812,48.5775
0.002896,48.5755,48.5719
0.002904,48.5699,48.5662
0.002912,48.5642,48.5606
0.00292,48.5586,48.5549
0.002928,48.5529,48.5493
0.002936,48.5473,48.5436
0.002944,48.5417,48.538
0.002952,48.536,48.5324
0.00296,48.5304,48.5267
0.002968,48.5247,48.5211
0.002976,48.5191,48.5155
0.002984,48.5135,48.5098
0.002992,48.5078,48.5042
0.003,48.5022,48.4986
0.003008,48.4966,48.4929
0.003016,48.491,48.4873
0.003024,48.4853,48.4817
0.003032,48.4797,48.4761
0.00304,48.4741,48.4704
0.003048,48.4685,48.4648
0.003056,48.4628,48.4592
0.003064,48.4572,48.4536
0.003072,48.4516,48.4479
0.00308,48.446,48.4423
0.003088,48.4404,48.4367
0.003096,48.4347,48.4311
0.003104,48.4291,48.4255
0.003112,48.4235,48.4199
0.00312,48.4179,48.4143
0.003128,48.4123,48.4086
0.003136,48.4067,48.403
0.003144,48.4011,48.3974
0.003152,48.3955,48.3918
0.00316,48.3898,48.3862
0.003168,48.3842,48.3806
0.003176,48.3786,48.375
