x,SolX0,SolXM_2,SolXM
283.5,32.8235,32.7959,32.7722
284,32.5526,32.5296,32.5106
284.5,32.288,32.2689,32.2536
285,32.0296,32.0136,32.0014
285.5,31.7771,31.7636,31.754
286,31.5302,31.5188,31.5113
286.5,31.2888,31.2791,31.2733
287,31.0527,31.0444,31.04
287.5,30.8217,30.8146,30.8113
288,30.5957,30.5896,30.5872
288.5,30.3746,30.3693,30.3676
289,30.1582,30.1536,30.1525
289.5,29.9465,29.9423,29.9418
290,29.7392,29.7355,29.7353
290.5,29.5363,29.5329,29.5331
291,29.3377,29.3346,29.3351
291.5,29.1432,29.1404,29.1411
292,28.9529,28.9502,28.9511
292.5,28.7665,28.764,28.7651
293,28.584,28.5817,28.5829
293.5,28.4054,28.4032,28.4045
294,28.2305,28.2284,28.2297
294.5,28.0593,28.0573,28.0586
295,27.8916,27.8897,27.8911
295.5,27.7274,27.7255,27.727
296,27.5667,27.5649,27.5663
296.5,27.4093,27.4075,27.409
297,27.2552,27.2534,27.255
297.5,27.1043,27.1026,27.1041
298,26.9566,26.9549,26.9564
298.5,26.8119,26.8102,26.8118
299,26.6703,26.6686,26.6702
299.5,26.5316,26.5299,26.5315
